"binom","pruin.binom","repro.strag","typical.habitat","pruin.thorax","pruin.abdo","z.MAT","z.arid"
"Gynacantha_nervosa",0,"f","forest",0,0,1.39772107772261,0.12784514611458
"Hagenius_brevistylus",0,"f","both",0,0,-0.542273656492147,0.553425346779124
"Helocordulia_selysii",0,"f","forest",0,0,0.550462680000371,1.39685748280027
"Helocordulia_uhleri",0,"f","both",0,0,-0.968474125678871,0.785963110517468
"Gomphus_abbreviatus",0,"p","open",0,0,-0.575081854169714,1.03683567435309
"Gomphus_adelphus",0,"p","open",0,0,-1.04035090476897,0.831907177475015
"Gomphus_apomyius",0,"p","forest",0,0,0.680380850575469,1.76444139469093
"Gomphus_geminatus",0,"p","forest",0,0,0.921353378293684,1.69061790329767
"Gomphus_parvidens",0,"p","open",0,0,-0.025744326852563,1.58359524051205
"Gomphus_viridifrons",0,"p","open",0,0,-0.589977360760141,0.618044549523629
"Idiataphe_cubensis",0,"p","open",0,0,1.41427643112539,-0.328729080321424
"Lanthus_parvulus",0,"p","forest",0,0,-1.01390187629458,0.916408512410216
"Lanthus_vernalis",0,"p","forest",0,0,-0.448621072825894,1.2753315339929
"Leucorrhinia_borealis",0,"p","open",0,0,-2.2696349782138,-1.30746672548944
"Leucorrhinia_glacialis",0,"p","forest",0,0,-1.3347005342198,0.0616493609173151
"Leucorrhinia_hudsonica",0,"p","forest",0,0,-1.65803962754308,-0.303475481577477
"Leucorrhinia_intacta",0,"p","open",0,0,-0.980732749996784,-0.157042297981734
"Leucorrhinia_patricia",0,"p","open",0,0,-2.68448886212779,-0.988910042968913
"Libellula_auripennis",0,"p","open",0,0,0.567973708179971,1.11143446410988
"Libellula_croceipennis",0,"p","forest",0,0,0.857148412762321,-1.06045349430784
"Libellula_cyanea",0,"p","both",0,0,-0.0582967167301474,0.989569470030038
"Libellula_gaigei",0,"p","both",0,0,1.74287078516643,-0.861328152815617
"Libellula_needhami",0,"p","both",0,0,0.764995391914046,0.865097269908989
"Libellula_quadrimaculata",0,"p","both",0,0,-1.29508795146303,-0.354662005865215
"Libellula_saturata",0,"p","both",0,0,0.198788370787943,-1.502621532862
"Libellula_semifasciata",0,"p","forest",0,0,-0.0977960646701475,0.980840700798181
"Macromia_alleghaniensis",0,"f","forest",0,0,-0.186884797788458,1.01798050573226
"Macromia_annulata",0,"f","both",0,0,0.739211865075133,-0.774851489064145
"Macromia_illinoiensis",0,"f","open",0,0,-0.436864403264886,0.437948181902886
"Macromia_magnifica",0,"f","open",0,0,-0.434534855884558,-1.20178190741208
"Macromia_margarita",0,"f","both",0,0,0.110713196268637,2.15828638264777
"Macromia_pacifica",0,"f","both",0,0,-0.0302743959822615,0.0832267749867732
"Macromia_taeniolata",0,"f","both",0,0,0.262845678898843,0.641113800976422
"Macrothemis_imitans",0,"f","open",0,0,1.22639894370447,-0.776804688376308
"Macrothemis_inacuta",0,"f","open",0,0,1.19265200196649,-1.36928983382003
"Macrothemis_inequiunguis",0,"f","forest",0,0,1.21703405987932,-0.809662241650738
"Micrathyria_hagenii",0,"p","open",0,0,1.18587911224042,-1.07769496669597
"Nasiaeschna_pentacantha",0,"f","forest",0,0,0.127427065557587,0.522560167743772
"Neurocordulia_alabamensis",0,"f","forest",0,0,0.550605719786142,1.77248937880255
"Neurocordulia_michaeli",0,"f","forest",0,0,-1.31162417100015,0.569331967604027
"Neurocordulia_molesta",0,"f","forest",0,0,-0.0694745321885665,0.0603166700243241
"Neurocordulia_obsoleta",0,"f","forest",0,0,-0.270875367496272,0.837641497701276
"Neurocordulia_virginiensis",0,"f","forest",0,0,0.50145882128462,1.11925591297625
"Neurocordulia_xanthosoma",0,"f","both",0,0,0.483502267706989,-0.127434822111373
"Neurocordulia_yamaskanensis",0,"f","forest",0,0,-0.895182217618159,0.441554774770213
"Octogomphus_specularis",0,"p","forest",0,0,-0.29685688916558,-1.46748714391132
"Ophiogomphus_acuminatus",0,"p","open",0,0,0.238795653963115,1.58354854582443
"Ophiogomphus_anomalus",0,"p","open",0,0,-1.32924044170155,0.281346547295188
"Ophiogomphus_arizonicus",0,"p","open",0,0,-0.239505730384088,-1.51690530673073
"Ophiogomphus_aspersus",0,"p","forest",0,0,-1.13741356233356,0.936060973357494
"Ophiogomphus_australis",0,"p","forest",0,0,0.988603089065331,2.19958126598558
"Ophiogomphus_bison",0,"p","forest",0,0,-0.287399157900014,-1.57111912500098
"Ophiogomphus_carolus",0,"p","open",0,0,-1.2455511424229,0.397792268452608
"Ophiogomphus_colubrinus",0,"f","open",0,0,-1.70338994069986,-0.382121971590327
"Ophiogomphus_edmundo",0,"p","open",0,0,0.235710953355978,2.1831685605942
"Ophiogomphus_howei",0,"p","forest",0,0,-0.759389259167935,0.383597198512461
"Ophiogomphus_incurvatus",0,"p","open",0,0,0.0928147250226172,1.51444923525732
"Ophiogomphus_mainensis",0,"p","both",0,0,-1.05615731233475,0.987003954078352
"Ophiogomphus_morrisoni",0,"p","open",0,0,-0.580503112288576,-1.52904302538946
"Ophiogomphus_occidentis",0,"p","both",0,0,-0.764534568414861,-1.06076705120012
"Ophiogomphus_rupinsulensis",0,"p","open",0,0,-1.05801763809394,-0.0164854360211236
"Ophiogomphus_severus",0,"p","both",0,0,-1.14806639609414,-1.09596476036785
"Ophiogomphus_smithi",0,"p","open",0,0,-1.01618719501087,-1.01250287869743
"Ophiogomphus_susbehcha",0,"p","both",0,0,-0.849863758505777,-0.458916618130655
"Ophiogomphus_westfalli",0,"p","open",0,0,0.0147661761953683,0.392657171667339
"Oplonaeschna_armata",0,"f","open",0,0,0.202379223099391,-1.55910580215455
"Paltothemis_lineatipes",0,"p","open",0,0,0.462900400397942,-1.67100615666757
"Pantala_flavescens",0,"f","open",0,0,0.136774017873408,0.000611233818500682
"Pantala_hymenaea",0,"f","open",0,0,0.14496881536165,-0.369154000397902
"Perithemis_domitia",0,"p","forest",0,0,0.950802456541767,-0.470237505136233
"Perithemis_intensa",0,"p","open",0,0,1.00882162398011,-1.69799574365671
"Perithemis_tenera",0,"p","both",0,0,0.138078072115227,0.202533871044831
"Gomphus_australis",0,"f","both",0,0,1.04453362886893,0.845823701450866
"Gomphus_borealis",0,"p","open",0,0,-1.22618919935799,0.949999424947417
"Gomphus_cavillaris*",0,"p","open",0,0,1.1456796123862,0.674824016849462
"Gomphus_descriptus",0,"p","open",0,0,-0.854069571799655,0.84547104925028
"Gomphus_diminutus",0,"p","open",0,0,0.569267316244895,1.06306538095928
"Gomphus_exilis",0,"p","open",0,0,-0.459969869188259,0.849429231382721
"Gomphus_graslinellus",0,"p","both",0,0,-0.278652663009721,-0.053287954603975
"Gomphus_hodgesi",0,"p","forest",0,0,0.942935740166022,1.92291375510894
"Gomphus_kurilis",0,"p","both",0,0,-0.233018228500556,-1.6136341783721
"Gomphus_lividus",0,"p","forest",0,0,-0.279469288040272,0.877507006347933
"Gomphus_militaris",0,"p","open",0,0,0.241272636280647,-0.925391314922107
"Gomphus_minutus",0,"p","forest",0,0,1.12831055051447,0.522382649395475
"Gomphus_oklahomensis",0,"p","both",0,0,0.815562110774758,1.60549048447438
"Gomphus_quadricolor",0,"p","open",0,0,-0.482591383632842,0.471942695778296
"Gomphus_sandrius",0,"p","forest",0,0,0.21642801933387,1.72554570159932
"Gomphus_spicatus",0,"p","open",0,0,-0.940866895016228,0.154640481984591
"Gomphus_westfalli",0,"p","forest",0,0,0.975142774029895,1.9372366738445
"Phyllocycla_breviphylla",0,"p","forest",0,0,1.44158303071193,-0.871559097256864
"Phyllogomphoides_albrighti",0,"f","both",0,0,1.12503968165785,-0.899186327997434
"Phyllogomphoides_stigmatus",0,"f","both",0,0,0.833343317920724,-0.504962270576064
"Planiplax_sanguiniventris",0,"p","both",0,0,1.65085971688306,-1.03639792769793
"Progomphus_alachuensis",0,"p","open",0,0,1.30670750251755,0.341373073965375
"Progomphus_bellei",0,"p","forest",0,0,0.886535508732033,1.54694620168711
"Progomphus_borealis",0,"p","forest",0,0,0.481443465350294,-1.75644734442861
"Progomphus_obscurus",0,"p","forest",0,0,0.176890197212749,0.364558427761068
"Pseudoleon_superbus",0,"p","open",0,0,0.942600911259973,-1.56675444763773
"Remartinia_luteipennis",0,"f","forest",0,0,0.790283978250339,-1.66786766839592
"Rhionaeschna_californica",0,"f","open",0,0,-0.720167815112338,-1.03300830027146
"Rhionaeschna_dugesi",0,"f","open",0,0,0.305943651557891,-1.62689202195257
"Rhionaeschna_multicolor",0,"f","open",0,0,-0.191841755334898,-1.30972381236622
"Rhionaeschna_mutata",0,"f","forest",0,0,-0.643129115811783,0.576904876429764
"Rhionaeschna_psilus",0,"f","forest",0,0,1.17732526922292,-1.27534088440171
"Somatochlora_albicincta",0,"f","both",0,0,-1.98567316742874,-0.488419555312814
"Somatochlora_brevicincta",0,"f","both",0,0,-1.83956413468926,-0.024985411439099
