"FID","Ztemp","Zprecip","Pruinosity","Persistence","Family","Genus","Species","Genus_species","z.hist.temp","z.hist.precip"
985,-0.822075685,0.204746878,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.45519918616275,1.96383255160234
985,-0.822075685,0.204746878,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.45519918616275,1.96383255160234
985,-0.822075685,0.204746878,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.45519918616275,1.96383255160234
986,-1.355959945,0.292480263,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.60855231309575,1.64894855313552
986,-1.355959945,0.292480263,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.60855231309575,1.64894855313552
987,-0.576530988,0.127950329,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.56757029066279,1.49641209119677
987,-0.576530988,0.127950329,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.56757029066279,1.49641209119677
988,0.494160822,0.033577082,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.75789835523931,1.61268838525513
990,0.670202673,0.600959989,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",0,"Cordulegastridae","Cordulegaster","Cordulegaster maculata","Cordulegaster_maculata",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",1,"Corduliidae","Epitheca","Epitheca princeps","Epitheca_princeps",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.96911486284169,1.14924200100894
990,0.670202673,0.600959989,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",1.96911486284169,1.14924200100894
991,0.713507211,0.101482043,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.91299158901334,1.00235600465504
991,0.713507211,0.101482043,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.91299158901334,1.00235600465504
991,0.713507211,0.101482043,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.91299158901334,1.00235600465504
991,0.713507211,0.101482043,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.91299158901334,1.00235600465504
991,0.713507211,0.101482043,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.91299158901334,1.00235600465504
1074,2.179710285,-0.814535043,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.59105880354389,-1.07444172318738
1075,2.334902454,-0.93343962,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.61440995670053,-0.800483619908499
1077,1.888218958,-0.907678501,"n",1,"Corduliidae","Macromia","Macromia illinoiensis","Macromia_illinoiensis",1.58170271842631,-0.115232229066248
1078,1.749658497,-1.024918402,"n",0,"Cordulegastridae","Cordulegaster","Cordulegaster maculata","Cordulegaster_maculata",1.61824279210807,0.450249991710619
1078,1.749658497,-1.024918402,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.61824279210807,0.450249991710619
1078,1.749658497,-1.024918402,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.61824279210807,0.450249991710619
1080,1.211450813,-1.522080535,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",1.52727636884,1.31181079838772
1080,1.211450813,-1.522080535,"n",1,"Libellulidae","Pantala","Pantala hymenaea","Pantala_hymenaea",1.52727636884,1.31181079838772
1082,0.064068026,-1.412046812,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.57099039590303,2.00946910143497
1082,0.064068026,-1.412046812,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.57099039590303,2.00946910143497
1082,0.064068026,-1.412046812,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.57099039590303,2.00946910143497
1083,-0.455041607,-0.881875744,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",1.60273416312422,2.04493002240211
1083,-0.455041607,-0.881875744,"y",1,"Libellulidae","Plathemis","Plathemis lydia","Plathemis_lydia",1.60273416312422,2.04493002240211
1083,-0.455041607,-0.881875744,"n",0,"Corduliidae","Didymops","Didymops transversa","Didymops_transversa",1.60273416312422,2.04493002240211
1083,-0.455041607,-0.881875744,"n",1,"Corduliidae","Macromia","Macromia illinoiensis","Macromia_illinoiensis",1.60273416312422,2.04493002240211
1083,-0.455041607,-0.881875744,"n",0,"Aeshnidae","Basiaeschna","Basiaeschna janata","Basiaeschna_janata",1.60273416312422,2.04493002240211
1085,-0.659543069,-0.212436714,"n",0,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.53714370121003,2.01502518728996
1086,-1.078054011,0.33848482,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.50724745483239,1.97892989663171
1086,-1.078054011,0.33848482,"n",1,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.50724745483239,1.97892989663171
1088,-0.515147743,0.090785784,"n",1,"Corduliidae","Macromia","Macromia illinoiensis","Macromia_illinoiensis",1.64143618772968,1.39877331577916
1089,-0.109208709,-0.021990245,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.78779199764113,1.45551532156474
1089,-0.109208709,-0.021990245,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",1.78779199764113,1.45551532156474
1089,-0.109208709,-0.021990245,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.78779199764113,1.45551532156474
1090,0.237133861,0.143940828,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.84567772910295,1.11637041737929
1090,0.237133861,0.143940828,"n",0,"Corduliidae","Didymops","Didymops transversa","Didymops_transversa",1.84567772910295,1.11637041737929
1091,0.400293315,0.334193156,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",1.77153667859119,0.967425269362156
1091,0.400293315,0.334193156,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.77153667859119,0.967425269362156
1091,0.400293315,0.334193156,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.77153667859119,0.967425269362156
1165,-0.070045988,-1.20107726,"n",1,"Libellulidae","Pantala","Pantala hymenaea","Pantala_hymenaea",2.06072967608869,-1.58626572761688
1165,-0.070045988,-1.20107726,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",2.06072967608869,-1.58626572761688
