"ID","Treatment","time","temp.gain","z.mass"
23,"C",240,0.1,1.0681961947495
23,"C",270,0.1,1.0681961947495
23,"C",300,0.1,1.0681961947495
24,"M",0,0,0.402839738608666
24,"M",30,0.4,0.402839738608666
24,"M",60,0.9,0.402839738608666
24,"M",90,1,0.402839738608666
24,"M",120,1.2,0.402839738608666
24,"M",150,1.2,0.402839738608666
24,"M",180,1.2,0.402839738608666
24,"M",210,1.3,0.402839738608666
24,"M",240,1.5,0.402839738608666
24,"M",270,1.3,0.402839738608666
24,"M",300,1.4,0.402839738608666
25,"C",0,0,0.563443021125418
25,"C",30,-0.7,0.563443021125418
25,"C",60,-0.7,0.563443021125418
25,"C",90,-0.7,0.563443021125418
25,"C",120,-0.7,0.563443021125418
25,"C",150,-0.9,0.563443021125418
25,"C",180,-0.7,0.563443021125418
25,"C",210,-0.6,0.563443021125418
25,"C",240,-0.7,0.563443021125418
25,"C",270,-0.6,0.563443021125418
25,"C",300,-0.6,0.563443021125418
26,"M",0,0,1.14849783600788
26,"M",30,0.1,1.14849783600788
26,"M",60,0.4,1.14849783600788
26,"M",90,0.5,1.14849783600788
26,"M",120,0.7,1.14849783600788
26,"M",150,1.1,1.14849783600788
26,"M",180,0.9,1.14849783600788
26,"M",210,1,1.14849783600788
26,"M",240,1,1.14849783600788
26,"M",270,0.9,1.14849783600788
26,"M",300,0.9,1.14849783600788
27,"C",0,0,-1.72228583897908
27,"C",30,-0.1,-1.72228583897908
27,"C",60,0.1,-1.72228583897908
27,"C",90,0.1,-1.72228583897908
27,"C",120,-0.2,-1.72228583897908
27,"C",150,-0.1,-1.72228583897908
27,"C",180,-0.1,-1.72228583897908
27,"C",210,-0.1,-1.72228583897908
27,"C",240,-0.1,-1.72228583897908
27,"C",270,-0.3,-1.72228583897908
27,"C",300,-0.3,-1.72228583897908
28,"M",0,0,-0.612402440157949
28,"M",30,0.3,-0.612402440157949
28,"M",60,0.5,-0.612402440157949
28,"M",90,0.6,-0.612402440157949
28,"M",120,0.5,-0.612402440157949
28,"M",150,0.6,-0.612402440157949
28,"M",180,0.8,-0.612402440157949
28,"M",210,0.8,-0.612402440157949
28,"M",240,0.9,-0.612402440157949
28,"M",270,1,-0.612402440157949
28,"M",300,1,-0.612402440157949
